iter	Passed	Remaining
380	25396	41260
381	25456	41183
382	25510	41096
383	25559	41001
384	25617	40921
385	25670	40834
386	25727	40752
387	25790	40679
388	25855	40610
389	25918	40539
390	25976	40459
391	26027	40368
392	26077	40277
393	26133	40194
394	26192	40116
395	26249	40036
396	26306	39956
397	26360	39872
398	26415	39788
399	26474	39711
400	26534	39636
401	26590	39554
402	26642	39467
403	26701	39391
404	26754	39306
405	26806	39218
406	26870	39150
407	26930	39076
408	26987	38997
409	27042	38915
410	27097	38833
411	27152	38752
412	27212	38677
413	27268	38598
414	27331	38527
415	27390	38452
416	27443	38367
417	27499	38288
418	27552	38205
419	27607	38124
420	27661	38042
421	27729	37979
422	27783	37898
423	27835	37813
424	27900	37747
425	27965	37681
426	28029	37613
427	28096	37549
428	28166	37489
429	28240	37435
430	28305	37368
431	28370	37302
432	28442	37244
433	28505	37175
434	28570	37109
435	28646	37056
436	28715	36994
437	28782	36931
438	28842	36857
439	28907	36791
440	28978	36731
441	29054	36679
442	29119	36612
443	29186	36548
444	29250	36480
445	29311	36409
446	29381	36349
447	29452	36289
448	29531	36239
449	29600	36178
450	29669	36116
451	29735	36051
452	29804	35989
453	29870	35923
454	29949	35873
455	30020	35814
456	30086	35748
457	30153	35683
458	30214	35612
459	30288	35556
460	30357	35494
461	30424	35429
462	30495	35369
463	30565	35308
464	30637	35249
465	30703	35184
466	30767	35115
467	30832	35049
468	30907	34992
469	30980	34935
470	31043	34866
471	31120	34812
472	31195	34756
473	31273	34703
474	31356	34656
475	31439	34609
476	31525	34565
477	31602	34511
478	31671	34448
479	31729	34374
480	31787	34298
481	31840	34218
482	31893	34138
483	31965	34079
484	32023	34003
485	32089	33937
486	32141	33857
487	32205	33789
488	32261	33713
489	32322	33641
490	32384	33572
491	32438	33493
492	32494	33417
493	32547	33338
494	32601	33260
495	32659	33186
496	32723	33118
497	32791	33054
498	32848	32979
499	32903	32903
500	32957	32825
501	33006	32743
502	33059	32664
503	33115	32590
504	33173	32517
505	33222	32434
506	33279	32360
507	33332	32282
508	33394	32213
509	33455	32143
510	33510	32067
511	33568	31994
512	33626	31921
513	33679	31844
514	33739	31774
515	33793	31697
516	33852	31626
517	33914	31557
518	33972	31485
519	34030	31412
520	34087	31339
521	34145	31267
522	34200	31192
523	34252	31115
524	34318	31050
525	34380	30981
526	34429	30901
527	34485	30828
528	34538	30752
529	34600	30683
530	34659	30612
531	34717	30541
532	34773	30467
533	34828	30393
534	34886	30321
535	34949	30255
536	35006	30182
537	35059	30106
538	35114	30033
539	35171	29960
540	35226	29887
541	35282	29814
542	35332	29736
543	35392	29667
544	35441	29588
545	35504	29521
546	35561	29450
547	35622	29382
548	35682	29312
549	35741	29243
550	35801	29173
551	35859	29103
552	35908	29025
553	35981	28966
554	36033	28891
555	36084	28815
556	36139	28742
557	36196	28671
558	36250	28598
559	36307	28527
560	36363	28455
561	36416	28381
562	36475	28312
563	36530	28239
564	36587	28168
565	36640	28095
566	36700	28026
567	36756	27955
568	36814	27886
569	36868	27813
570	36917	27736
571	36986	27675
572	37040	27602
573	37111	27542
574	37194	27491
575	37264	27430
576	37342	27375
577	37415	27317
578	37487	27257
579	37556	27196
580	37610	27123
581	37669	27054
582	37726	26984
583	37776	26909
584	37833	26838
585	37890	26768
586	37948	26699
587	38018	26638
588	38075	26568
589	38157	26516
590	38211	26444
591	38259	26367
592	38314	26296
593	38366	26223
594	38423	26153
595	38488	26089
596	38545	26019
597	38604	25951
598	38657	25879
599	38713	25809
600	38794	25755
601	38863	25693
602	38919	25623
603	38982	25557
604	39038	25487
605	39086	25412
606	39144	25344
607	39191	25268
608	39246	25197
609	39300	25126
610	39353	25054
611	39408	24984
612	39461	24912
613	39525	24848
614	39583	24779
615	39645	24714
616	39698	24642
617	39751	24571
618	39811	24504
619	39869	24436
620	39927	24367
621	39990	24302
622	40045	24233
623	40094	24159
624	40146	24087
625	40202	24018
626	40259	23950
627	40315	23881
628	40379	23816
629	40431	23745
630	40484	23674
631	40545	23608
632	40601	23539
633	40660	23472
634	40717	23404
635	40770	23333
636	40820	23261
637	40876	23193
638	40931	23123
639	40995	23059
640	41051	22991
641	41118	22928
642	41180	22864
643	41239	22797
644	41299	22730
645	41358	22663
646	41408	22592
647	41466	22525
648	41526	22459
649	41581	22389
650	41635	22320
651	41689	22251
652	41744	22182
653	41804	22116
654	41864	22050
655	41915	21980
656	41978	21915
657	42041	21851
658	42100	21785
659	42152	21714
660	42211	21648
661	42269	21581
662	42325	21513
663	42379	21444
664	42429	21374
665	42484	21305
666	42538	21237
667	42595	21170
668	42656	21104
669	42712	21037
670	42770	20970
671	42829	20904
672	42881	20835
673	42938	20768
674	43002	20705
675	43069	20642
676	43131	20578
677	43185	20509
678	43241	20442
679	43298	20375
680	43351	20307
681	43408	20240
682	43460	20171
683	43518	20105
684	43573	20037
685	43629	19970
686	43682	19902
687	43734	19833
688	43789	19765
689	43853	19702
690	43924	19642
691	43996	19582
692	44073	19524
693	44145	19464
694	44211	19402
695	44286	19343
696	44358	19283
697	44430	19223
698	44504	19164
699	44577	19104
700	44641	19041
701	44711	18979
702	44800	18927
703	44873	18867
704	44937	18803
705	45000	18739
706	45065	18676
707	45144	18618
708	45210	18556
709	45281	18495
710	45350	18433
711	45419	18371
712	45492	18311
713	45569	18253
714	45634	18190
715	45709	18130
716	45778	18068
717	45843	18005
718	45913	17944
719	45987	17883
720	46079	17831
721	46142	17766
722	46210	17704
723	46287	17645
724	46358	17584
725	46429	17522
726	46494	17459
727	46568	17399
728	46639	17337
729	46702	17273
730	46769	17210
731	46840	17149
732	46909	17087
733	46979	17025
734	47052	16964
735	47128	16904
736	47193	16841
737	47262	16778
738	47324	16714
739	47392	16651
740	47477	16594
741	47556	16535
742	47644	16479
743	47716	16418
744	47781	16354
745	47836	16287
746	47894	16221
747	47949	16153
748	48007	16088
749	48074	16024
750	48122	15955
751	48176	15887
752	48234	15822
753	48299	15758
754	48354	15691
755	48408	15623
756	48462	15556
757	48520	15490
758	48575	15423
759	48634	15358
760	48692	15292
761	48753	15227
762	48812	15161
763	48888	15101
764	48952	15037
765	49009	14971
766	49077	14908
767	49141	14844
768	49204	14780
769	49294	14724
770	49366	14662
771	49442	14602
772	49511	14539
773	49597	14482
774	49671	14420
775	49752	14361
776	49831	14301
777	49904	14240
778	49974	14177
779	50046	14115
780	50117	14053
781	50176	13987
782	50235	13922
783	50292	13856
784	50346	13789
785	50398	13721
786	50453	13655
787	50514	13590
788	50571	13524
789	50633	13459
790	50694	13394
791	50760	13331
792	50816	13264
793	50871	13198
794	50930	13132
795	50985	13066
796	51053	13003
797	51136	12944
798	51207	12881
799	51271	12817
800	51326	12751
801	51382	12685
802	51439	12619
803	51502	12555
804	51565	12490
805	51620	12424
806	51677	12359
807	51732	12292
808	51785	12226
809	51850	12162
810	51924	12100
811	51997	12038
812	52071	11976
813	52133	11912
814	52210	11851
815	52274	11787
816	52328	11721
817	52382	11654
818	52440	11589
819	52496	11523
820	52558	11459
821	52615	11393
822	52678	11329
823	52755	11268
824	52845	11209
825	52922	11148
826	52987	11084
827	53062	11022
828	53140	10961
829	53204	10897
830	53263	10832
831	53317	10766
832	53375	10700
833	53438	10636
834	53496	10571
835	53553	10505
836	53610	10440
837	53670	10375
838	53727	10309
839	53779	10243
840	53831	10177
841	53883	10111
842	53940	10045
843	53999	9980
844	54066	9917
845	54121	9851
846	54189	9788
847	54265	9726
848	54342	9665
849	54417	9603
850	54472	9537
851	54533	9472
852	54592	9408
853	54646	9342
854	54698	9276
855	54758	9211
856	54817	9146
857	54875	9082
858	54934	9017
859	55014	8955
860	55086	8893
861	55152	8829
862	55207	8764
863	55262	8698
864	55314	8632
865	55375	8568
866	55427	8502
867	55485	8437
868	55547	8373
869	55602	8308
870	55651	8242
871	55708	8177
872	55765	8112
873	55818	8047
874	55871	7981
875	55924	7916
876	55980	7851
877	56047	7787
878	56109	7723
879	56168	7659
880	56233	7595
881	56288	7530
882	56350	7466
883	56405	7401
884	56455	7336
885	56507	7270
886	56557	7205
887	56609	7139
888	56661	7074
889	56725	7011
890	56782	6946
891	56845	6882
892	56904	6818
893	56953	6752
894	57042	6692
895	57111	6629
896	57170	6564
897	57228	6500
898	57286	6435
899	57346	6371
900	57403	6307
901	57462	6243
902	57521	6178
903	57579	6114
904	57630	6049
905	57692	5985
906	57751	5921
907	57806	5857
908	57867	5793
909	57920	5728
910	57973	5663
911	58035	5599
912	58098	5536
913	58154	5471
914	58209	5407
915	58271	5343
916	58331	5279
917	58383	5215
918	58438	5150
919	58497	5086
920	58555	5022
921	58611	4958
922	58664	4894
923	58716	4829
924	58774	4765
925	58833	4701
926	58901	4638
927	58965	4574
928	59019	4510
929	59077	4446
930	59139	4383
931	59197	4319
932	59254	4255
933	59309	4191
934	59361	4126
935	59414	4062
936	59464	3998
937	59517	3934
938	59576	3870
939	59636	3806
940	59687	3742
941	59739	3678
942	59793	3614
943	59853	3550
944	59913	3487
945	59973	3423
946	60038	3360
947	60110	3297
948	60186	3234
949	60260	3171
950	60345	3109
951	60421	3046
952	60496	2983
953	60572	2920
954	60643	2857
955	60716	2794
956	60792	2731
957	60873	2668
958	60943	2605
959	61015	2542
960	61082	2478
961	61147	2415
962	61211	2351
963	61283	2288
964	61354	2225
965	61422	2161
966	61490	2098
967	61561	2035
968	61630	1971
969	61706	1908
970	61775	1845
971	61842	1781
972	61913	1718
973	61987	1654
974	62062	1591
975	62137	1527
976	62208	1464
977	62274	1400
978	62347	1337
979	62419	1273
980	62487	1210
981	62557	1146
982	62627	1083
983	62701	1019
984	62766	955
985	62833	892
986	62906	828
987	62974	764
988	63052	701
989	63130	637
990	63201	573
991	63272	510
992	63344	446
993	63414	382
994	63485	319
995	63568	255
996	63644	191
997	63712	127
998	63774	63
999	63837	0
